,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
0,AALI,Astra Agro Lestari Tbk.,09 Des 1997,1.924.688.333,UTAMA
1,ABBA,Mahaka Media Tbk.,03 Apr 2002,2.755.125.000,PENGEMBANGAN
2,ABDA,Asuransi Bina Dana Arta Tbk.,06 Jul 1989,620.806.680,PENGEMBANGAN
3,ABMM,ABM Investama Tbk.,06 Des 2011,2.753.165.000,UTAMA
4,ACES,Ace Hardware Indonesia Tbk.,06 Nov 2007,17.150.000.000,UTAMA
5,ACST,Acset Indonusa Tbk.,24 Jun 2013,700.000.000,UTAMA
6,ADES,Akasha Wira International Tbk.,13 Jun 1994,589.896.800,PENGEMBANGAN
7,ADHI,Adhi Karya (Persero) Tbk.,18 Mar 2004,3.560.849.376,UTAMA
8,ADMF,Adira Dinamika Multi Finance T,31 Mar 2004,1.000.000.000,UTAMA
9,ADMG,Polychem Indonesia Tbk,20 Okt 1993,3.889.179.559,UTAMA
10,ADRO,Adaro Energy Tbk.,16 Jul 2008,31.985.962.000,UTAMA
11,AGII,Aneka Gas Industri Tbk.,28 Sep 2016,3.066.660.000,
12,AGRO,Bank Rakyat Indonesia Agroniag,08 Ags 2003,21.129.857.328,UTAMA
13,AGRS,Bank Agris Tbk.,22 Des 2014,5.203.614.878,PENGEMBANGAN
14,AHAP,Asuransi Harta Aman Pratama Tb,14 Sep 1990,2.940.000.000,PENGEMBANGAN
15,AIMS,Akbar Indo Makmur Stimec Tbk,20 Jul 2001,220.000.000,PENGEMBANGAN
16,AISA,Tiga Pilar Sejahtera Food Tbk.,11 Jun 1997,3.218.600.000,UTAMA
17,AKKU,Anugerah Kagum Karya Utama Tbk,01 Nov 2004,6.449.463.636,PENGEMBANGAN
18,AKPI,Argha Karya Prima Industry Tbk,18 Des 1992,680.000.000,PENGEMBANGAN
19,AKRA,AKR Corporindo Tbk.,03 Okt 1994,4.014.694.920,UTAMA
20,AKSI,Majapahit Inti Corpora Tbk.,13 Jul 2001,720.000.000,PENGEMBANGAN
21,ALDO,Alkindo Naratama Tbk.,12 Jul 2011,550.000.000,PENGEMBANGAN
22,ALKA,Alakasa Industrindo Tbk,12 Jul 1990,507.665.055,PENGEMBANGAN
23,ALMI,Alumindo Light Metal Industry ,02 Jan 1997,616.000.000,PENGEMBANGAN
24,ALTO,Tri Banyan Tirta Tbk.,10 Jul 2012,2.191.870.558,UTAMA
25,AMAG,Asuransi Multi Artha Guna Tbk.,23 Des 2005,5.001.552.516,PENGEMBANGAN
26,AMFG,Asahimas Flat Glass Tbk.,08 Nov 1995,434.000.000,UTAMA
27,AMIN,Ateliers Mecaniques D Indonesi,10 Des 2015,1.080.000.000,PENGEMBANGAN
28,AMRT,Sumber Alfaria Trijaya Tbk.,15 Jan 2009,41.524.501.700,UTAMA
29,ANDI,Andira Agro Tbk.,16 Ags 2018,1.870.000.000,PENGEMBANGAN
30,ANJT,Austindo Nusantara Jaya Tbk.,08 Mei 2013,3.354.175.000,UTAMA
31,ANTM,Aneka Tambang Tbk.,27 Nov 1997,24.030.764.725,UTAMA
32,APEX,Apexindo Pratama Duta Tbk.,10 Jul 2002,2.659.850.000,UTAMA
33,APIC,Pacific Strategic Financial Tb,18 Des 2002,11.765.966.447,PENGEMBANGAN
34,APII,Arita Prima Indonesia Tbk.,29 Okt 2013,1.075.760.000,PENGEMBANGAN
35,APLI,Asiaplast Industries Tbk.,01 Mei 2000,1.362.671.400,UTAMA
36,APLN,Agung Podomoro Land Tbk.,11 Nov 2010,19.364.561.700,UTAMA
37,APOL,Arpeni Pratama Ocean Line Tbk.,22 Jun 2005,8.670.479.000,UTAMA
38,ARGO,Argo Pantes Tbk,07 Jan 1991,335.557.450,PENGEMBANGAN
39,ARII,Atlas Resources Tbk.,08 Nov 2011,3.000.000.000,PENGEMBANGAN
40,ARMY,Armidian Karyatama Tbk.,21 Jun 2017,8.187.500.000,PENGEMBANGAN
41,ARNA,Arwana Citramulia Tbk.,17 Jul 2001,7.341.430.976,UTAMA
42,ARTA,Arthavest Tbk,05 Nov 2002,446.674.175,PENGEMBANGAN
43,ARTI,Ratu Prabu Energi Tbk,30 Apr 2003,7.840.000.000,UTAMA
44,ARTO,Bank Artos Indonesia Tbk.,12 Jan 2016,1.194.187.500,PENGEMBANGAN
45,ASBI,Asuransi Bintang Tbk.,29 Nov 1989,348.386.472,PENGEMBANGAN
46,ASDM,Asuransi Dayin Mitra Tbk.,15 Des 1989,192.000.000,PENGEMBANGAN
47,ASGR,Astra Graphia Tbk.,15 Nov 1989,1.348.780.500,UTAMA
48,ASII,Astra International Tbk.,04 Apr 1990,40.483.553.140,UTAMA
49,ASJT,Asuransi Jasa Tania Tbk.,29 Des 2003,600.000.000,PENGEMBANGAN
50,ASMI,Asuransi Kresna Mitra Tbk.,16 Jan 2014,8.958.380.460,PENGEMBANGAN
51,ASRI,Alam Sutera Realty Tbk.,18 Des 2007,19.649.411.888,UTAMA
52,ASRM,Asuransi Ramayana Tbk.,19 Mar 1990,214.559.422,PENGEMBANGAN
53,ASSA,Adi Sarana Armada Tbk.,12 Nov 2012,3.397.500.000,UTAMA
54,ATIC,Anabatic Technologies Tbk.,08 Jul 2015,1.875.010.000,UTAMA
55,ATPK,Bara Jaya Internasional Tbk.,17 Apr 2002,5.760.245.414,PENGEMBANGAN
56,AUTO,Astra Otoparts Tbk.,15 Jun 1998,4.819.733.000,UTAMA
57,BABP,Bank MNC Internasional Tbk.,15 Jul 2002,21.567.203.082,PENGEMBANGAN
58,BACA,Bank Capital Indonesia Tbk.,04 Okt 2007,6.999.757.684,PENGEMBANGAN
59,BAJA,Saranacentral Bajatama Tbk.,21 Des 2011,1.800.000.000,PENGEMBANGAN
60,BALI,Bali Towerindo Sentra Tbk.,13 Mar 2014,3.664.476.700,PENGEMBANGAN
61,BAPA,Bekasi Asri Pemula Tbk.,14 Jan 2008,661.784.520,UTAMA
62,BATA,Sepatu Bata Tbk.,24 Mar 1982,1.300.000.000,UTAMA
63,BAYU,Bayu Buana Tbk,30 Okt 1989,353.220.780,PENGEMBANGAN
64,BBCA,Bank Central Asia Tbk.,31 Mei 2000,24.408.459.120,UTAMA
65,BBHI,Bank Harda Internasional Tbk.,12 Ags 2015,4.142.587.477,PENGEMBANGAN
66,BBKP,Bank Bukopin Tbk.,10 Jul 2006,11.535.389.661,UTAMA
67,BBLD,Buana Finance Tbk.,07 Mei 1990,1.645.796.054,PENGEMBANGAN
68,BBMD,Bank Mestika Dharma Tbk.,08 Jul 2013,4.049.189.100,UTAMA
69,BBNI,Bank Negara Indonesia (Persero,25 Nov 1996,18.462.169.893,UTAMA
70,BBNP,Bank Nusantara Parahyangan Tbk,10 Jan 2001,791.895.641,UTAMA
71,BBRI,Bank Rakyat Indonesia (Persero,10 Nov 2003,122.112.351.900,UTAMA
72,BBRM,Pelayaran Nasional Bina Buana ,09 Jan 2013,5.367.076.248,UTAMA
73,BBTN,Bank Tabungan Negara (Persero),17 Des 2009,10.484.100.000,UTAMA
74,BBYB,Bank Yudha Bhakti Tbk.,13 Jan 2015,5.148.129.999,UTAMA
75,BCAP,MNC Kapital Indonesia Tbk.,08 Jun 2001,38.531.387.216,UTAMA
76,BCIC,Bank JTrust Indonesia Tbk.,25 Jun 1997,9.912.003.256,PENGEMBANGAN
77,BCIP,Bumi Citra Permai Tbk.,11 Des 2009,1.429.915.525,PENGEMBANGAN
78,BDMN,Bank Danamon Indonesia Tbk.,06 Des 1989,9.488.796.931,UTAMA
79,BEKS,Bank Pembangunan Daerah Banten,13 Jul 2001,63.468.336.053,PENGEMBANGAN
80,BELL,Trisula Textile Industries Tbk,03 Okt 2017,1.450.000.000,PENGEMBANGAN
81,BEST,Bekasi Fajar Industrial Estate,10 Apr 2012,9.647.311.150,UTAMA
