No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
301,JSKY,Sky Energy Indonesia Tbk.,28 Mar 2018,1.016.270.000,UTAMA
302,JSMR,Jasa Marga (Persero) Tbk.,12 Nov 2007,7.257.871.200,UTAMA
303,JSPT,Jakarta Setiabudi Internasiona,12 Jan 1998,2.318.736.000,PENGEMBANGAN
304,JTPE,Jasuindo Tiga Perkasa Tbk.,16 Apr 2002,1.713.012.500,PENGEMBANGAN
305,KAEF,Kimia Farma Tbk.,04 Jul 2001,5.554.000.000,UTAMA
306,KARW,ICTSI Jasa Prima Tbk.,20 Des 2008,587.152.700,PENGEMBANGAN
307,KBLI,KMI Wire & Cable Tbk.,06 Jul 1992,4.007.235.107,UTAMA
308,KBLM,Kabelindo Murni Tbk.,01 Jun 1992,1.120.000.000,PENGEMBANGAN
309,KBLV,First Media Tbk.,25 Feb 2000,1.742.167.907,PENGEMBANGAN
310,KBRI,Kertas Basuki Rachmat Indonesi,11 Jul 2008,8.687.995.734,PENGEMBANGAN
311,KDSI,Kedawung Setia Industrial Tbk.,29 Jul 1996,405.000.000,PENGEMBANGAN
312,KIAS,Keramika Indonesia Assosiasi T,08 Des 1994,14.929.100.000,PENGEMBANGAN
313,KICI,Kedaung Indah Can Tbk,28 Okt 1993,276.000.000,UTAMA
314,KIJA,Kawasan Industri Jababeka Tbk.,10 Jan 1995,20.824.888.369,UTAMA
315,KINO,Kino Indonesia Tbk.,11 Des 2015,1.428.571.500,PENGEMBANGAN
316,KIOS,Kioson Komersial Indonesia Tbk,05 Okt 2017,717.238.500,PENGEMBANGAN
317,KKGI,Resource Alam Indonesia Tbk.,01 Jul 1991,5.000.000.000,UTAMA
318,KLBF,Kalbe Farma Tbk.,30 Jul 1991,46.875.122.110,UTAMA
319,KMTR,Kirana Megatara Tbk.,19 Jun 2017,7.682.950.000,PENGEMBANGAN
320,KOBX,Kobexindo Tractors Tbk.,05 Jul 2012,2.272.500.000,UTAMA
321,KOIN,Kokoh Inti Arebama Tbk,09 Apr 2008,980.843.732,PENGEMBANGAN
322,KONI,Perdana Bangun Pusaka Tbk,22 Ags 1995,152.000.000,PENGEMBANGAN
